     Nodes                Values
I_R1[4,VF1]                       -1.3uA
I_R2[2,0]                        20.37pA
I_R3[2,4]                         -1.3uA
I_U1.L2[U1.75,V                    1.3uA
I_U1.R100[U1.16                 -15.53uA
I_U1.R105[U1.9,                   -5.5uA
I_U1.R106[U1.35                 -30.49uA
I_U1.R108[U1.54                       0A
I_U1.R110[U1.55                   7.63uA
I_U1.R111[U1.57                  -6.48nA
I_U1.R112[U1.58                -706.43uA
I_U1.R113[U1.16                  -1.49mA
I_U1.R114[U1.56                -365.45nA
I_U1.R115[U1.57                  -1.01uA
I_U1.R116[U1.34                  -1.79uA
I_U1.R117[U1.34                -764.84uA
I_U1.R122[0,U1.                       0A
I_U1.R139[0,U1.                   -5.1pA
I_U1.R140[0,U1.                 -655.1pA
I_U1.R141[U1.49                -828.36fA
I_U1.R142[U1.44                 807.93fA
I_U1.R150[U1.63                   3.96pA
I_U1.R151[U1.66                 794.32fA
I_U1.R152[U1.68                  -1.58mA
I_U1.R153[0,U1.                  -1.63mA
I_U1.R155[U1.70                       0A
I_U1.R156[U1.72                     -2mA
I_U1.R157[U1.64                     -2mA
I_U1.R158[0,1]                    -2.5mA
I_U1.R160[U1.82                 499.95uA
I_U1.R161[U1.83                       0A
I_U1.R162[U1.84                  32.15nA
I_U1.R163[0,U1.                -499.95uA
I_U1.R164[0,U1.                       0A
I_U1.R165[0,U1.                 -32.15nA
I_U1.R166[U1.91                  17.22uA
I_U1.R167[U1.85                  17.22uA
I_U1.R168[U1.10                  -9.24nA
I_U1.R169[U1.10                   41.3nA
I_U1.R170[U1.94                  -1.53uA
I_U1.R171[U1.64                 -223.5uA
I_U1.R172[U1.64                 -136.5uA
I_U1.R173[U1.11                  -1.58mA
I_U1.R174[U1.95                  -1.63mA
I_U1.R175[U1.11                -174.01pA
I_U1.R176[U1.11                  30.35uA
I_U1.R177[U1.12                  -6.84nA
I_U1.R178[U1.12                -926.53uA
I_U1.R179[U1.64                  -4.13mA
I_U1.R180[U1.11                   2.32uA
I_U1.R181[U1.12                   1.63uA
I_U1.R182[U1.94                  -1.57uA
I_U1.R183[U1.94                  -3.04mA
I_U1.R184[U1.93                -149.99fA
I_U1.R185[U1.89                       0A
I_U1.R186[U1.90               -9.65E-18A
I_U1.R187[4,U1.                3.47E-27A
I_U1.R188[U1.94                 174.01pA
I_U1.R189[U1.10                -926.53pA
I_U1.R190[U1.64                  -4.13nA
I_U1.R191[U1.85                   3.22pA
I_U1.R200[U1.75                       0A
I_U1.R204[U1.99                  -9.55nA
I_U1.R205[U1.64                 -10.69nA
I_U1.R206[U1.69                 -41.29nA
I_U1.R207[U1.68                   9.23nA
I_U1.R209[U1.11                       0A
I_U1.R226[U1.10                 823.15fA
I_U1.R227[U1.10                 857.59fA
I_U1.R314[U1.11                -907.85pA
I_U1.R316[U1.9,                 -10.95pA
I_U1.R318[U1.12                 -10.73pA
I_U1.R320[4,U1.                 -10.73pA
I_U1.R325[U1.20                1.53E-16A
I_U1.R326[U1.32                -1.0E-15A
I_U1.R327[U1.29                       0A
I_U1.R328[0,U1.               -9.71E-19A
I_U1.R329[0,U1.                   44.9nA
I_U1.R330[0,U1.                 -25.64uA
I_U1.R331[U1.12                  47.21pA
I_U1.R332[0,U1.                 -72.84uA
I_U1.R333[U1.13                 -72.88uA
I_U1.R334[0,U1.                 -39.76nA
I_U1.R335[0,U1.                 -59.64nA
I_U1.R338[U1.39                -712.27pA
I_U1.R339[U1.16                -712.27pA
I_U1.R340[U1.11                  -1.49nA
I_U1.R341[U1.10                 706.42pA
I_U1.R343[U1.51                -767.08pA
I_U1.R344[U1.34                  24.99uA
I_U1.R345[U1.94                  49.49uA
I_U1.R81[U1.10,                   -5.5uA
I_U1.R82[0,U1.1                  -30.5uA
I_U1.R84[U1.12,                       0A
I_U1.R85[U1.14,                    -20uA
I_U1.R86[U1.16,                    -20uA
I_U1.R88[U1.22,                      5uA
I_U1.R89[U1.23,                       0A
I_U1.R90[U1.24,                  10.22nA
I_U1.R91[0,U1.2                     -5uA
I_U1.R92[0,U1.2                       0A
I_U1.R93[0,U1.2                 -10.22nA
I_U1.R94[U1.30,                  10.22uA
I_U1.R95[U1.25,                  10.22uA
I_U1.R96[U1.46,                -707.13pA
I_U1.R97[U1.47,                   1.49nA
I_U1.R98[U1.34,                  -7.72uA
I_U1.R99[U1.16,                 -21.97uA
I_U1.V118[U1.11                   1.58mA
I_U1.V120[U1.12                  -44.9nA
I_U1.V121[U1.13                 -72.88uA
I_U1.V122[U1.12                  39.76nA
I_U1.V123[U1.90                  10.95pA
I_U1.V27[U1.20,                -828.36fA
I_U1.V30[U1.50,                   37.5uA
I_U1.V45[U1.15,                  19.16pA
I_U1.V46[U1.53,                -765.74fA
I_U1.V55[U1.61,                    5.1pA
I_U1.V58[U1.81,                -857.59fA
I_U1.V59[U1.111                    360uA
I_U1.V79[U1.73,                  20.03pA
I_U1.V80[U1.115                   9.42fA
V_C1[4,0]                        20.43mV
V_C2[4,VF1]                       -5.2mV
V_IG1[2,0]                       20.37mV
V_R1[4,VF1]                       -5.2mV
V_R2[2,0]                        20.37mV
V_R3[2,4]                          -65uV
V_U1.C29[U1.22,                       5V
V_U1.C30[U1.23,                       0V
V_U1.C31[U1.24,                  10.22mV
V_U1.C32[U1.13,                    3.27V
V_U1.C33[U1.40,                  38.62mV
V_U1.C34[U1.20,                   1.15uV
V_U1.C35[U1.21,                  20.44mV
V_U1.C36[U1.9,0                 846.84uV
V_U1.C40[U1.48,                 -38.62mV
V_U1.C46[U1.59,                  -1.15uV
V_U1.C49[U1.20,                 -20.44mV
